gene_symbol	death_type	subclass	evidence_tier
DBT	cuproptosis	canonical_regulator	A
DLAT	cuproptosis	canonical_regulator	A
DLD	cuproptosis	canonical_regulator	A
FDX1	cuproptosis	canonical_regulator	A
GLS	cuproptosis	canonical_regulator	A
LIAS	cuproptosis	canonical_regulator	A
LIPT1	cuproptosis	canonical_regulator	A
PDHA1	cuproptosis	canonical_regulator	A
PDHB	cuproptosis	canonical_regulator	A
ABI1	disulfidptosis	canonical_or_direct_mechanism	A
BRK1	disulfidptosis	canonical_or_direct_mechanism	A
CYFIP1	disulfidptosis	canonical_or_direct_mechanism	A
NCKAP1	disulfidptosis	canonical_or_direct_mechanism	A
RAC1	disulfidptosis	canonical_or_direct_mechanism	A
SLC7A11	disulfidptosis	canonical_or_direct_mechanism	A
WASF2	disulfidptosis	canonical_or_direct_mechanism	A
ACSL4	ferroptosis	driver	A
AIFM2	ferroptosis	suppressor	A
ALOX15	ferroptosis	driver	A
CISD1	ferroptosis	suppressor	A
FANCD2	ferroptosis	suppressor	A
FTH1	ferroptosis	suppressor	A
FTL	ferroptosis	suppressor	A
GCLC	ferroptosis	suppressor	A
GCLM	ferroptosis	suppressor	A
GPX4	ferroptosis	suppressor	A
GSS	ferroptosis	suppressor	A
KEAP1	ferroptosis	suppressor	A
LPCAT3	ferroptosis	driver	A
NCOA4	ferroptosis	driver	A
NFE2L2	ferroptosis	suppressor	A
NFS1	ferroptosis	suppressor	A
SAT1	ferroptosis	driver	A
TFRC	ferroptosis	driver	A
