gene	panel
"EPCAM"	"epithelial_ductal"
"KRT19"	"epithelial_ductal"
"KRT18"	"epithelial_ductal"
"KRT8"	"epithelial_ductal"
"KRT7"	"epithelial_ductal"
"MUC1"	"epithelial_ductal"
"MSLN"	"epithelial_ductal"
"CEACAM6"	"epithelial_ductal"
"KRT17"	"epithelial_ductal"
"PRSS1"	"acinar_like"
"PRSS3"	"acinar_like"
"CPA1"	"acinar_like"
"CPB1"	"acinar_like"
"REG1A"	"acinar_like"
"REG1B"	"acinar_like"
"CELA2A"	"acinar_like"
"CELA2B"	"acinar_like"
"CTRC"	"acinar_like"
"SYCN"	"acinar_like"
"MKI67"	"cycling"
"TOP2A"	"cycling"
"UBE2C"	"cycling"
"TYMS"	"cycling"
"CENPF"	"cycling"
"LST1"	"myeloid_exclusion"
"C1QA"	"myeloid_exclusion"
"C1QB"	"myeloid_exclusion"
"APOE"	"myeloid_exclusion"
"FCER1A"	"myeloid_exclusion"
"HLA-DRA"	"myeloid_exclusion"
"CD3D"	"tnk_exclusion"
"CD3E"	"tnk_exclusion"
"NKG7"	"tnk_exclusion"
"GNLY"	"tnk_exclusion"
"GZMB"	"tnk_exclusion"
"COL1A1"	"fibroblast_exclusion"
"COL1A2"	"fibroblast_exclusion"
"DCN"	"fibroblast_exclusion"
"LUM"	"fibroblast_exclusion"
"SPARC"	"fibroblast_exclusion"
"TAGLN"	"fibroblast_exclusion"
