sample_name	n_cells	median_nFeature_RNA	median_nCount_RNA	median_percent_mt	p95_percent_mt	median_percent_ribo	median_percent_hb
"GSM4710689_PDAC_TISSUE_1"	1410	2565	9266	7.99455392678027	63.10064858992	11.8337819299218	0
"GSM4710690_PDAC_TISSUE_2"	1782	2071.5	5409	2.27468319561488	8.85022469714732	13.7208842542783	0
"GSM4710691_PDAC_TISSUE_3"	2390	1979	6784	6.80895047707417	75.2184103260869	21.5873857369563	0
"GSM4710692_PDAC_TISSUE_4"	2338	1618.5	4978.5	8.26756398174784	62.4352358920983	16.7689436266982	0
"GSM4710693_PDAC_TISSUE_5"	1645	1937	6649	6.80173661360347	61.1749822003495	14.6778042959427	0
"GSM4710694_PDAC_TISSUE_6"	2153	2096	6956	3.59189912113107	8.7783530459877	28.3145382505334	0
"GSM4710695_PDAC_TISSUE_7"	7702	2242	7709.5	6.39460249801745	24.911001846061	20.2950125391862	0
"GSM4710696_PDAC_TISSUE_8"	4544	1908	6320.5	6.72554773956759	18.5895919384703	21.8086139451668	0
"GSM4710697_PDAC_TISSUE_9"	4162	996	2412.5	2.22535130721936	10.188816974812	1.20455058413852	0
"GSM4710698_PDAC_TISSUE_10"	1387	1448	3704	6.24045128687272	31.31857342726	14.7985054710435	0
"GSM4710699_PDAC_TISSUE_11A"	4236	605	1146	13.3462791169338	60.2958298690722	15.5553168148778	0
"GSM4710700_PDAC_TISSUE_11B"	2237	976	2889	9.88735919899875	47.6514624391751	8.7249164356526	0
"GSM4710701_PDAC_TISSUE_12"	1523	2256	6991	5.83319168224829	12.757407381938	14.320645905421	0
"GSM4710702_PDAC_TISSUE_13"	5029	2286	7555	4.02298850574713	12.1609259464423	13.9443277310924	0
"GSM4710703_PDAC_TISSUE_14"	694	1848.5	6337.5	5.06981092952024	13.602917941305	30.6972432921997	0.00355926666249116
"GSM4710704_PDAC_TISSUE_15"	3067	3538	12920	7.42845249245499	21.0382216570085	15.5998283375149	0
"GSM4710705_PDAC_TISSUE_16"	957	3013	9650	6.65581111337269	15.2978978266936	22.3120452708165	0.015222244773696
