cluster_id	refined_subtype	major_compartment	confidence	suspicious_flag	n_cells
"14"	"plasma_cell"	"B_plasma"	"high"	"NO"	1056
"15"	"B_cell"	"B_plasma"	"high"	"NO"	1053
"28"	"plasmablast_like"	"B_plasma"	"high"	"NO"	261
"0"	"CD4_Treg_like_T"	"T_NK"	"high"	"NO"	4734
"1"	"CD8_effector_like_T"	"T_NK"	"high"	"NO"	3072
"12"	"NK_cell"	"T_NK"	"high"	"NO"	1268
"25"	"cytotoxic_T_NK"	"T_NK"	"high"	"NO"	462
"24"	"acinar_like"	"acinar_like"	"high"	"NO"	504
"4"	"ductal_like_epithelial"	"epithelial"	"high"	"NO"	2509
"23"	"CAF_matrix"	"fibroblast"	"high"	"NO"	531
"11"	"FCN1_monocyte"	"myeloid"	"high"	"NO"	1379
"18"	"APOC1_TREM2_macrophage"	"myeloid"	"high"	"NO"	794
"2"	"FOLR2_C1QC_macrophage"	"myeloid"	"high"	"NO"	3063
"3"	"neutrophil_like"	"myeloid"	"medium"	"NO"	2591
"6"	"inflammatory_neutrophil"	"myeloid"	"medium"	"NO"	2352
"7"	"SPP1_macrophage"	"myeloid"	"high"	"NO"	1719
"9"	"mast_cell"	"myeloid"	"high"	"NO"	1555
"10"	"needs_marker_review"	"unresolved"	"low"	"YES"	1475
"13"	"needs_marker_review"	"unresolved"	"low"	"YES"	1202
"16"	"needs_marker_review"	"unresolved"	"low"	"YES"	1037
"17"	"needs_marker_review"	"unresolved"	"low"	"YES"	1005
"19"	"needs_marker_review"	"unresolved"	"low"	"YES"	788
"20"	"needs_marker_review"	"unresolved"	"low"	"YES"	738
"21"	"needs_marker_review"	"unresolved"	"low"	"YES"	723
"22"	"needs_marker_review"	"unresolved"	"low"	"YES"	593
"26"	"needs_marker_review"	"unresolved"	"low"	"YES"	423
"27"	"needs_marker_review"	"unresolved"	"low"	"YES"	301
"29"	"needs_marker_review"	"unresolved"	"low"	"YES"	122
"30"	"needs_marker_review"	"unresolved"	"low"	"YES"	48
"31"	"needs_marker_review"	"unresolved"	"low"	"YES"	25
"5"	"needs_marker_review"	"unresolved"	"low"	"YES"	2496
"8"	"needs_marker_review"	"unresolved"	"low"	"YES"	1628
